"Notes"	"State of Residence"	"State of Residence Code"	"County of Residence"	"County of Residence Code"	"Year"	"Year Code"	"Month"	"Month Code"	Births
	"Florida"	"12"	"Martin County, FL"	"12085"	"2022"	"2022"	"September"	"9"	95
	"Florida"	"12"	"Martin County, FL"	"12085"	"2022"	"2022"	"October"	"10"	110
	"Florida"	"12"	"Martin County, FL"	"12085"	"2022"	"2022"	"November"	"11"	112
	"Florida"	"12"	"Martin County, FL"	"12085"	"2022"	"2022"	"December"	"12"	129
	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"2022"	"2022"	"January"	"1"	2456
	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"2022"	"2022"	"February"	"2"	2259
	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"2022"	"2022"	"March"	"3"	2549
	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"2022"	"2022"	"April"	"4"	2248
	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"2022"	"2022"	"May"	"5"	2333
	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"2022"	"2022"	"June"	"6"	2450
	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"2022"	"2022"	"July"	"7"	2453
	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"2022"	"2022"	"August"	"8"	2762
	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"2022"	"2022"	"September"	"9"	2522
	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"2022"	"2022"	"October"	"10"	2448
	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"2022"	"2022"	"November"	"11"	2594
	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"2022"	"2022"	"December"	"12"	2691
	"Florida"	"12"	"Okaloosa County, FL"	"12091"	"2022"	"2022"	"January"	"1"	220
	"Florida"	"12"	"Okaloosa County, FL"	"12091"	"2022"	"2022"	"February"	"2"	203
	"Florida"	"12"	"Okaloosa County, FL"	"12091"	"2022"	"2022"	"March"	"3"	245
	"Florida"	"12"	"Okaloosa County, FL"	"12091"	"2022"	"2022"	"April"	"4"	193
	"Florida"	"12"	"Okaloosa County, FL"	"12091"	"2022"	"2022"	"May"	"5"	216
	"Florida"	"12"	"Okaloosa County, FL"	"12091"	"2022"	"2022"	"June"	"6"	213
	"Florida"	"12"	"Okaloosa County, FL"	"12091"	"2022"	"2022"	"July"	"7"	201
	"Florida"	"12"	"Okaloosa County, FL"	"12091"	"2022"	"2022"	"August"	"8"	247
	"Florida"	"12"	"Okaloosa County, FL"	"12091"	"2022"	"2022"	"September"	"9"	212
	"Florida"	"12"	"Okaloosa County, FL"	"12091"	"2022"	"2022"	"October"	"10"	208
	"Florida"	"12"	"Okaloosa County, FL"	"12091"	"2022"	"2022"	"November"	"11"	209
	"Florida"	"12"	"Okaloosa County, FL"	"12091"	"2022"	"2022"	"December"	"12"	224
	"Florida"	"12"	"Orange County, FL"	"12095"	"2022"	"2022"	"January"	"1"	1382
	"Florida"	"12"	"Orange County, FL"	"12095"	"2022"	"2022"	"February"	"2"	1270
	"Florida"	"12"	"Orange County, FL"	"12095"	"2022"	"2022"	"March"	"3"	1385
	"Florida"	"12"	"Orange County, FL"	"12095"	"2022"	"2022"	"April"	"4"	1281
	"Florida"	"12"	"Orange County, FL"	"12095"	"2022"	"2022"	"May"	"5"	1308
	"Florida"	"12"	"Orange County, FL"	"12095"	"2022"	"2022"	"June"	"6"	1367
	"Florida"	"12"	"Orange County, FL"	"12095"	"2022"	"2022"	"July"	"7"	1472
	"Florida"	"12"	"Orange County, FL"	"12095"	"2022"	"2022"	"August"	"8"	1520
	"Florida"	"12"	"Orange County, FL"	"12095"	"2022"	"2022"	"September"	"9"	1361
	"Florida"	"12"	"Orange County, FL"	"12095"	"2022"	"2022"	"October"	"10"	1465
	"Florida"	"12"	"Orange County, FL"	"12095"	"2022"	"2022"	"November"	"11"	1437
	"Florida"	"12"	"Orange County, FL"	"12095"	"2022"	"2022"	"December"	"12"	1474
	"Florida"	"12"	"Osceola County, FL"	"12097"	"2022"	"2022"	"January"	"1"	453
	"Florida"	"12"	"Osceola County, FL"	"12097"	"2022"	"2022"	"February"	"2"	406
	"Florida"	"12"	"Osceola County, FL"	"12097"	"2022"	"2022"	"March"	"3"	414
	"Florida"	"12"	"Osceola County, FL"	"12097"	"2022"	"2022"	"April"	"4"	353
	"Florida"	"12"	"Osceola County, FL"	"12097"	"2022"	"2022"	"May"	"5"	399
	"Florida"	"12"	"Osceola County, FL"	"12097"	"2022"	"2022"	"June"	"6"	404
	"Florida"	"12"	"Osceola County, FL"	"12097"	"2022"	"2022"	"July"	"7"	410
	"Florida"	"12"	"Osceola County, FL"	"12097"	"2022"	"2022"	"August"	"8"	438
	"Florida"	"12"	"Osceola County, FL"	"12097"	"2022"	"2022"	"September"	"9"	417
	"Florida"	"12"	"Osceola County, FL"	"12097"	"2022"	"2022"	"October"	"10"	424
	"Florida"	"12"	"Osceola County, FL"	"12097"	"2022"	"2022"	"November"	"11"	429
	"Florida"	"12"	"Osceola County, FL"	"12097"	"2022"	"2022"	"December"	"12"	435
	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"2022"	"2022"	"January"	"1"	1231
	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"2022"	"2022"	"February"	"2"	1136
	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"2022"	"2022"	"March"	"3"	1240
	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"2022"	"2022"	"April"	"4"	1230
	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"2022"	"2022"	"May"	"5"	1262
	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"2022"	"2022"	"June"	"6"	1282
	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"2022"	"2022"	"July"	"7"	1310
	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"2022"	"2022"	"August"	"8"	1348
	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"2022"	"2022"	"September"	"9"	1289
	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"2022"	"2022"	"October"	"10"	1400
	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"2022"	"2022"	"November"	"11"	1409
	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"2022"	"2022"	"December"	"12"	1381
	"Florida"	"12"	"Pasco County, FL"	"12101"	"2022"	"2022"	"January"	"1"	436
	"Florida"	"12"	"Pasco County, FL"	"12101"	"2022"	"2022"	"February"	"2"	422
	"Florida"	"12"	"Pasco County, FL"	"12101"	"2022"	"2022"	"March"	"3"	469
	"Florida"	"12"	"Pasco County, FL"	"12101"	"2022"	"2022"	"April"	"4"	444
	"Florida"	"12"	"Pasco County, FL"	"12101"	"2022"	"2022"	"May"	"5"	440
	"Florida"	"12"	"Pasco County, FL"	"12101"	"2022"	"2022"	"June"	"6"	469
	"Florida"	"12"	"Pasco County, FL"	"12101"	"2022"	"2022"	"July"	"7"	529
	"Florida"	"12"	"Pasco County, FL"	"12101"	"2022"	"2022"	"August"	"8"	527
	"Florida"	"12"	"Pasco County, FL"	"12101"	"2022"	"2022"	"September"	"9"	481
	"Florida"	"12"	"Pasco County, FL"	"12101"	"2022"	"2022"	"October"	"10"	483
	"Florida"	"12"	"Pasco County, FL"	"12101"	"2022"	"2022"	"November"	"11"	479
	"Florida"	"12"	"Pasco County, FL"	"12101"	"2022"	"2022"	"December"	"12"	534
	"Florida"	"12"	"Pinellas County, FL"	"12103"	"2022"	"2022"	"January"	"1"	612
	"Florida"	"12"	"Pinellas County, FL"	"12103"	"2022"	"2022"	"February"	"2"	572
	"Florida"	"12"	"Pinellas County, FL"	"12103"	"2022"	"2022"	"March"	"3"	648
	"Florida"	"12"	"Pinellas County, FL"	"12103"	"2022"	"2022"	"April"	"4"	621
	"Florida"	"12"	"Pinellas County, FL"	"12103"	"2022"	"2022"	"May"	"5"	586
	"Florida"	"12"	"Pinellas County, FL"	"12103"	"2022"	"2022"	"June"	"6"	564
	"Florida"	"12"	"Pinellas County, FL"	"12103"	"2022"	"2022"	"July"	"7"	702
	"Florida"	"12"	"Pinellas County, FL"	"12103"	"2022"	"2022"	"August"	"8"	675
	"Florida"	"12"	"Pinellas County, FL"	"12103"	"2022"	"2022"	"September"	"9"	577
	"Florida"	"12"	"Pinellas County, FL"	"12103"	"2022"	"2022"	"October"	"10"	645
	"Florida"	"12"	"Pinellas County, FL"	"12103"	"2022"	"2022"	"November"	"11"	608
	"Florida"	"12"	"Pinellas County, FL"	"12103"	"2022"	"2022"	"December"	"12"	642
	"Florida"	"12"	"Polk County, FL"	"12105"	"2022"	"2022"	"January"	"1"	698
	"Florida"	"12"	"Polk County, FL"	"12105"	"2022"	"2022"	"February"	"2"	639
	"Florida"	"12"	"Polk County, FL"	"12105"	"2022"	"2022"	"March"	"3"	743
	"Florida"	"12"	"Polk County, FL"	"12105"	"2022"	"2022"	"April"	"4"	732
	"Florida"	"12"	"Polk County, FL"	"12105"	"2022"	"2022"	"May"	"5"	690
	"Florida"	"12"	"Polk County, FL"	"12105"	"2022"	"2022"	"June"	"6"	700
	"Florida"	"12"	"Polk County, FL"	"12105"	"2022"	"2022"	"July"	"7"	788
	"Florida"	"12"	"Polk County, FL"	"12105"	"2022"	"2022"	"August"	"8"	860
	"Florida"	"12"	"Polk County, FL"	"12105"	"2022"	"2022"	"September"	"9"	826
	"Florida"	"12"	"Polk County, FL"	"12105"	"2022"	"2022"	"October"	"10"	791
	"Florida"	"12"	"Polk County, FL"	"12105"	"2022"	"2022"	"November"	"11"	809
	"Florida"	"12"	"Polk County, FL"	"12105"	"2022"	"2022"	"December"	"12"	825
	"Florida"	"12"	"St. Johns County, FL"	"12109"	"2022"	"2022"	"January"	"1"	189
	"Florida"	"12"	"St. Johns County, FL"	"12109"	"2022"	"2022"	"February"	"2"	187
	"Florida"	"12"	"St. Johns County, FL"	"12109"	"2022"	"2022"	"March"	"3"	199
	"Florida"	"12"	"St. Johns County, FL"	"12109"	"2022"	"2022"	"April"	"4"	192
	"Florida"	"12"	"St. Johns County, FL"	"12109"	"2022"	"2022"	"May"	"5"	179
	"Florida"	"12"	"St. Johns County, FL"	"12109"	"2022"	"2022"	"June"	"6"	202
	"Florida"	"12"	"St. Johns County, FL"	"12109"	"2022"	"2022"	"July"	"7"	230
	"Florida"	"12"	"St. Johns County, FL"	"12109"	"2022"	"2022"	"August"	"8"	234
	"Florida"	"12"	"St. Johns County, FL"	"12109"	"2022"	"2022"	"September"	"9"	252
	"Florida"	"12"	"St. Johns County, FL"	"12109"	"2022"	"2022"	"October"	"10"	200
	"Florida"	"12"	"St. Johns County, FL"	"12109"	"2022"	"2022"	"November"	"11"	244
	"Florida"	"12"	"St. Johns County, FL"	"12109"	"2022"	"2022"	"December"	"12"	206
	"Florida"	"12"	"St. Lucie County, FL"	"12111"	"2022"	"2022"	"January"	"1"	299
	"Florida"	"12"	"St. Lucie County, FL"	"12111"	"2022"	"2022"	"February"	"2"	270
	"Florida"	"12"	"St. Lucie County, FL"	"12111"	"2022"	"2022"	"March"	"3"	295
	"Florida"	"12"	"St. Lucie County, FL"	"12111"	"2022"	"2022"	"April"	"4"	283
	"Florida"	"12"	"St. Lucie County, FL"	"12111"	"2022"	"2022"	"May"	"5"	278
	"Florida"	"12"	"St. Lucie County, FL"	"12111"	"2022"	"2022"	"June"	"6"	284
	"Florida"	"12"	"St. Lucie County, FL"	"12111"	"2022"	"2022"	"July"	"7"	353
	"Florida"	"12"	"St. Lucie County, FL"	"12111"	"2022"	"2022"	"August"	"8"	327
	"Florida"	"12"	"St. Lucie County, FL"	"12111"	"2022"	"2022"	"September"	"9"	345
	"Florida"	"12"	"St. Lucie County, FL"	"12111"	"2022"	"2022"	"October"	"10"	336
	"Florida"	"12"	"St. Lucie County, FL"	"12111"	"2022"	"2022"	"November"	"11"	327
	"Florida"	"12"	"St. Lucie County, FL"	"12111"	"2022"	"2022"	"December"	"12"	334
	"Florida"	"12"	"Santa Rosa County, FL"	"12113"	"2022"	"2022"	"January"	"1"	141
	"Florida"	"12"	"Santa Rosa County, FL"	"12113"	"2022"	"2022"	"February"	"2"	139
	"Florida"	"12"	"Santa Rosa County, FL"	"12113"	"2022"	"2022"	"March"	"3"	184
	"Florida"	"12"	"Santa Rosa County, FL"	"12113"	"2022"	"2022"	"April"	"4"	169
	"Florida"	"12"	"Santa Rosa County, FL"	"12113"	"2022"	"2022"	"May"	"5"	141
	"Florida"	"12"	"Santa Rosa County, FL"	"12113"	"2022"	"2022"	"June"	"6"	177
	"Florida"	"12"	"Santa Rosa County, FL"	"12113"	"2022"	"2022"	"July"	"7"	174
	"Florida"	"12"	"Santa Rosa County, FL"	"12113"	"2022"	"2022"	"August"	"8"	220
	"Florida"	"12"	"Santa Rosa County, FL"	"12113"	"2022"	"2022"	"September"	"9"	199
	"Florida"	"12"	"Santa Rosa County, FL"	"12113"	"2022"	"2022"	"October"	"10"	148
	"Florida"	"12"	"Santa Rosa County, FL"	"12113"	"2022"	"2022"	"November"	"11"	163
	"Florida"	"12"	"Santa Rosa County, FL"	"12113"	"2022"	"2022"	"December"	"12"	179
	"Florida"	"12"	"Sarasota County, FL"	"12115"	"2022"	"2022"	"January"	"1"	232
	"Florida"	"12"	"Sarasota County, FL"	"12115"	"2022"	"2022"	"February"	"2"	232
	"Florida"	"12"	"Sarasota County, FL"	"12115"	"2022"	"2022"	"March"	"3"	248
	"Florida"	"12"	"Sarasota County, FL"	"12115"	"2022"	"2022"	"April"	"4"	241
	"Florida"	"12"	"Sarasota County, FL"	"12115"	"2022"	"2022"	"May"	"5"	238
	"Florida"	"12"	"Sarasota County, FL"	"12115"	"2022"	"2022"	"June"	"6"	250
	"Florida"	"12"	"Sarasota County, FL"	"12115"	"2022"	"2022"	"July"	"7"	228
	"Florida"	"12"	"Sarasota County, FL"	"12115"	"2022"	"2022"	"August"	"8"	274
	"Florida"	"12"	"Sarasota County, FL"	"12115"	"2022"	"2022"	"September"	"9"	240
	"Florida"	"12"	"Sarasota County, FL"	"12115"	"2022"	"2022"	"October"	"10"	270
	"Florida"	"12"	"Sarasota County, FL"	"12115"	"2022"	"2022"	"November"	"11"	291
	"Florida"	"12"	"Sarasota County, FL"	"12115"	"2022"	"2022"	"December"	"12"	238
	"Florida"	"12"	"Seminole County, FL"	"12117"	"2022"	"2022"	"January"	"1"	377
	"Florida"	"12"	"Seminole County, FL"	"12117"	"2022"	"2022"	"February"	"2"	379
	"Florida"	"12"	"Seminole County, FL"	"12117"	"2022"	"2022"	"March"	"3"	408
	"Florida"	"12"	"Seminole County, FL"	"12117"	"2022"	"2022"	"April"	"4"	329
	"Florida"	"12"	"Seminole County, FL"	"12117"	"2022"	"2022"	"May"	"5"	367
	"Florida"	"12"	"Seminole County, FL"	"12117"	"2022"	"2022"	"June"	"6"	371
	"Florida"	"12"	"Seminole County, FL"	"12117"	"2022"	"2022"	"July"	"7"	400
	"Florida"	"12"	"Seminole County, FL"	"12117"	"2022"	"2022"	"August"	"8"	446
	"Florida"	"12"	"Seminole County, FL"	"12117"	"2022"	"2022"	"September"	"9"	412
	"Florida"	"12"	"Seminole County, FL"	"12117"	"2022"	"2022"	"October"	"10"	390
	"Florida"	"12"	"Seminole County, FL"	"12117"	"2022"	"2022"	"November"	"11"	399
	"Florida"	"12"	"Seminole County, FL"	"12117"	"2022"	"2022"	"December"	"12"	412
	"Florida"	"12"	"Volusia County, FL"	"12127"	"2022"	"2022"	"January"	"1"	432
	"Florida"	"12"	"Volusia County, FL"	"12127"	"2022"	"2022"	"February"	"2"	368
	"Florida"	"12"	"Volusia County, FL"	"12127"	"2022"	"2022"	"March"	"3"	397
	"Florida"	"12"	"Volusia County, FL"	"12127"	"2022"	"2022"	"April"	"4"	346
	"Florida"	"12"	"Volusia County, FL"	"12127"	"2022"	"2022"	"May"	"5"	401
	"Florida"	"12"	"Volusia County, FL"	"12127"	"2022"	"2022"	"June"	"6"	437
	"Florida"	"12"	"Volusia County, FL"	"12127"	"2022"	"2022"	"July"	"7"	405
	"Florida"	"12"	"Volusia County, FL"	"12127"	"2022"	"2022"	"August"	"8"	465
	"Florida"	"12"	"Volusia County, FL"	"12127"	"2022"	"2022"	"September"	"9"	468
	"Florida"	"12"	"Volusia County, FL"	"12127"	"2022"	"2022"	"October"	"10"	430
	"Florida"	"12"	"Volusia County, FL"	"12127"	"2022"	"2022"	"November"	"11"	437
	"Florida"	"12"	"Volusia County, FL"	"12127"	"2022"	"2022"	"December"	"12"	466
	"Florida"	"12"	"Unidentified Counties, FL"	"12999"	"2022"	"2022"	"January"	"1"	1081
	"Florida"	"12"	"Unidentified Counties, FL"	"12999"	"2022"	"2022"	"February"	"2"	1007
	"Florida"	"12"	"Unidentified Counties, FL"	"12999"	"2022"	"2022"	"March"	"3"	1114
	"Florida"	"12"	"Unidentified Counties, FL"	"12999"	"2022"	"2022"	"April"	"4"	995
	"Florida"	"12"	"Unidentified Counties, FL"	"12999"	"2022"	"2022"	"May"	"5"	1030
	"Florida"	"12"	"Unidentified Counties, FL"	"12999"	"2022"	"2022"	"June"	"6"	1078
	"Florida"	"12"	"Unidentified Counties, FL"	"12999"	"2022"	"2022"	"July"	"7"	1168
	"Florida"	"12"	"Unidentified Counties, FL"	"12999"	"2022"	"2022"	"August"	"8"	1296
	"Florida"	"12"	"Unidentified Counties, FL"	"12999"	"2022"	"2022"	"September"	"9"	1156
	"Florida"	"12"	"Unidentified Counties, FL"	"12999"	"2022"	"2022"	"October"	"10"	1135
	"Florida"	"12"	"Unidentified Counties, FL"	"12999"	"2022"	"2022"	"November"	"11"	1167
	"Florida"	"12"	"Unidentified Counties, FL"	"12999"	"2022"	"2022"	"December"	"12"	1136
	"Georgia"	"13"	"Bartow County, GA"	"13015"	"2022"	"2022"	"January"	"1"	85
	"Georgia"	"13"	"Bartow County, GA"	"13015"	"2022"	"2022"	"February"	"2"	104
	"Georgia"	"13"	"Bartow County, GA"	"13015"	"2022"	"2022"	"March"	"3"	118
	"Georgia"	"13"	"Bartow County, GA"	"13015"	"2022"	"2022"	"April"	"4"	112
	"Georgia"	"13"	"Bartow County, GA"	"13015"	"2022"	"2022"	"May"	"5"	83
	"Georgia"	"13"	"Bartow County, GA"	"13015"	"2022"	"2022"	"June"	"6"	106
	"Georgia"	"13"	"Bartow County, GA"	"13015"	"2022"	"2022"	"July"	"7"	114
	"Georgia"	"13"	"Bartow County, GA"	"13015"	"2022"	"2022"	"August"	"8"	146
	"Georgia"	"13"	"Bartow County, GA"	"13015"	"2022"	"2022"	"September"	"9"	123
	"Georgia"	"13"	"Bartow County, GA"	"13015"	"2022"	"2022"	"October"	"10"	99
	"Georgia"	"13"	"Bartow County, GA"	"13015"	"2022"	"2022"	"November"	"11"	125
	"Georgia"	"13"	"Bartow County, GA"	"13015"	"2022"	"2022"	"December"	"12"	114
	"Georgia"	"13"	"Bibb County, GA"	"13021"	"2022"	"2022"	"January"	"1"	194
	"Georgia"	"13"	"Bibb County, GA"	"13021"	"2022"	"2022"	"February"	"2"	162
	"Georgia"	"13"	"Bibb County, GA"	"13021"	"2022"	"2022"	"March"	"3"	180
	"Georgia"	"13"	"Bibb County, GA"	"13021"	"2022"	"2022"	"April"	"4"	165
	"Georgia"	"13"	"Bibb County, GA"	"13021"	"2022"	"2022"	"May"	"5"	149
	"Georgia"	"13"	"Bibb County, GA"	"13021"	"2022"	"2022"	"June"	"6"	150
	"Georgia"	"13"	"Bibb County, GA"	"13021"	"2022"	"2022"	"July"	"7"	169
	"Georgia"	"13"	"Bibb County, GA"	"13021"	"2022"	"2022"	"August"	"8"	206
	"Georgia"	"13"	"Bibb County, GA"	"13021"	"2022"	"2022"	"September"	"9"	155
	"Georgia"	"13"	"Bibb County, GA"	"13021"	"2022"	"2022"	"October"	"10"	165
	"Georgia"	"13"	"Bibb County, GA"	"13021"	"2022"	"2022"	"November"	"11"	186
	"Georgia"	"13"	"Bibb County, GA"	"13021"	"2022"	"2022"	"December"	"12"	186
	"Georgia"	"13"	"Carroll County, GA"	"13045"	"2022"	"2022"	"January"	"1"	128
	"Georgia"	"13"	"Carroll County, GA"	"13045"	"2022"	"2022"	"February"	"2"	111
	"Georgia"	"13"	"Carroll County, GA"	"13045"	"2022"	"2022"	"March"	"3"	127
	"Georgia"	"13"	"Carroll County, GA"	"13045"	"2022"	"2022"	"April"	"4"	118
	"Georgia"	"13"	"Carroll County, GA"	"13045"	"2022"	"2022"	"May"	"5"	125
	"Georgia"	"13"	"Carroll County, GA"	"13045"	"2022"	"2022"	"June"	"6"	119
	"Georgia"	"13"	"Carroll County, GA"	"13045"	"2022"	"2022"	"July"	"7"	139
	"Georgia"	"13"	"Carroll County, GA"	"13045"	"2022"	"2022"	"August"	"8"	143
	"Georgia"	"13"	"Carroll County, GA"	"13045"	"2022"	"2022"	"September"	"9"	146
	"Georgia"	"13"	"Carroll County, GA"	"13045"	"2022"	"2022"	"October"	"10"	148
	"Georgia"	"13"	"Carroll County, GA"	"13045"	"2022"	"2022"	"November"	"11"	142
	"Georgia"	"13"	"Carroll County, GA"	"13045"	"2022"	"2022"	"December"	"12"	150
	"Georgia"	"13"	"Chatham County, GA"	"13051"	"2022"	"2022"	"January"	"1"	304
	"Georgia"	"13"	"Chatham County, GA"	"13051"	"2022"	"2022"	"February"	"2"	261
	"Georgia"	"13"	"Chatham County, GA"	"13051"	"2022"	"2022"	"March"	"3"	355
	"Georgia"	"13"	"Chatham County, GA"	"13051"	"2022"	"2022"	"April"	"4"	278
	"Georgia"	"13"	"Chatham County, GA"	"13051"	"2022"	"2022"	"May"	"5"	270
	"Georgia"	"13"	"Chatham County, GA"	"13051"	"2022"	"2022"	"June"	"6"	296
	"Georgia"	"13"	"Chatham County, GA"	"13051"	"2022"	"2022"	"July"	"7"	327
	"Georgia"	"13"	"Chatham County, GA"	"13051"	"2022"	"2022"	"August"	"8"	347
	"Georgia"	"13"	"Chatham County, GA"	"13051"	"2022"	"2022"	"September"	"9"	307
	"Georgia"	"13"	"Chatham County, GA"	"13051"	"2022"	"2022"	"October"	"10"	304
	"Georgia"	"13"	"Chatham County, GA"	"13051"	"2022"	"2022"	"November"	"11"	307
	"Georgia"	"13"	"Chatham County, GA"	"13051"	"2022"	"2022"	"December"	"12"	311
	"Georgia"	"13"	"Cherokee County, GA"	"13057"	"2022"	"2022"	"January"	"1"	188
	"Georgia"	"13"	"Cherokee County, GA"	"13057"	"2022"	"2022"	"February"	"2"	198
	"Georgia"	"13"	"Cherokee County, GA"	"13057"	"2022"	"2022"	"March"	"3"	233
	"Georgia"	"13"	"Cherokee County, GA"	"13057"	"2022"	"2022"	"April"	"4"	229
	"Georgia"	"13"	"Cherokee County, GA"	"13057"	"2022"	"2022"	"May"	"5"	212
	"Georgia"	"13"	"Cherokee County, GA"	"13057"	"2022"	"2022"	"June"	"6"	243
	"Georgia"	"13"	"Cherokee County, GA"	"13057"	"2022"	"2022"	"July"	"7"	247
	"Georgia"	"13"	"Cherokee County, GA"	"13057"	"2022"	"2022"	"August"	"8"	273
	"Georgia"	"13"	"Cherokee County, GA"	"13057"	"2022"	"2022"	"September"	"9"	261
	"Georgia"	"13"	"Cherokee County, GA"	"13057"	"2022"	"2022"	"October"	"10"	254
	"Georgia"	"13"	"Cherokee County, GA"	"13057"	"2022"	"2022"	"November"	"11"	260
	"Georgia"	"13"	"Cherokee County, GA"	"13057"	"2022"	"2022"	"December"	"12"	259
	"Georgia"	"13"	"Clarke County, GA"	"13059"	"2022"	"2022"	"January"	"1"	94
	"Georgia"	"13"	"Clarke County, GA"	"13059"	"2022"	"2022"	"February"	"2"	105
	"Georgia"	"13"	"Clarke County, GA"	"13059"	"2022"	"2022"	"March"	"3"	104
	"Georgia"	"13"	"Clarke County, GA"	"13059"	"2022"	"2022"	"April"	"4"	87
	"Georgia"	"13"	"Clarke County, GA"	"13059"	"2022"	"2022"	"May"	"5"	86
	"Georgia"	"13"	"Clarke County, GA"	"13059"	"2022"	"2022"	"June"	"6"	115
	"Georgia"	"13"	"Clarke County, GA"	"13059"	"2022"	"2022"	"July"	"7"	117
	"Georgia"	"13"	"Clarke County, GA"	"13059"	"2022"	"2022"	"August"	"8"	135
	"Georgia"	"13"	"Clarke County, GA"	"13059"	"2022"	"2022"	"September"	"9"	109
	"Georgia"	"13"	"Clarke County, GA"	"13059"	"2022"	"2022"	"October"	"10"	114
	"Georgia"	"13"	"Clarke County, GA"	"13059"	"2022"	"2022"	"November"	"11"	111
	"Georgia"	"13"	"Clarke County, GA"	"13059"	"2022"	"2022"	"December"	"12"	105
	"Georgia"	"13"	"Clayton County, GA"	"13063"	"2022"	"2022"	"January"	"1"	268
	"Georgia"	"13"	"Clayton County, GA"	"13063"	"2022"	"2022"	"February"	"2"	251
	"Georgia"	"13"	"Clayton County, GA"	"13063"	"2022"	"2022"	"March"	"3"	303
	"Georgia"	"13"	"Clayton County, GA"	"13063"	"2022"	"2022"	"April"	"4"	251
	"Georgia"	"13"	"Clayton County, GA"	"13063"	"2022"	"2022"	"May"	"5"	260
	"Georgia"	"13"	"Clayton County, GA"	"13063"	"2022"	"2022"	"June"	"6"	282
	"Georgia"	"13"	"Clayton County, GA"	"13063"	"2022"	"2022"	"July"	"7"	286
	"Georgia"	"13"	"Clayton County, GA"	"13063"	"2022"	"2022"	"August"	"8"	301
	"Georgia"	"13"	"Clayton County, GA"	"13063"	"2022"	"2022"	"September"	"9"	293
	"Georgia"	"13"	"Clayton County, GA"	"13063"	"2022"	"2022"	"October"	"10"	247
	"Georgia"	"13"	"Clayton County, GA"	"13063"	"2022"	"2022"	"November"	"11"	279
	"Georgia"	"13"	"Clayton County, GA"	"13063"	"2022"	"2022"	"December"	"12"	370
	"Georgia"	"13"	"Cobb County, GA"	"13067"	"2022"	"2022"	"January"	"1"	781
	"Georgia"	"13"	"Cobb County, GA"	"13067"	"2022"	"2022"	"February"	"2"	689
	"Georgia"	"13"	"Cobb County, GA"	"13067"	"2022"	"2022"	"March"	"3"	760
	"Georgia"	"13"	"Cobb County, GA"	"13067"	"2022"	"2022"	"April"	"4"	648
	"Georgia"	"13"	"Cobb County, GA"	"13067"	"2022"	"2022"	"May"	"5"	725
	"Georgia"	"13"	"Cobb County, GA"	"13067"	"2022"	"2022"	"June"	"6"	720
	"Georgia"	"13"	"Cobb County, GA"	"13067"	"2022"	"2022"	"July"	"7"	760
	"Georgia"	"13"	"Cobb County, GA"	"13067"	"2022"	"2022"	"August"	"8"	809
	"Georgia"	"13"	"Cobb County, GA"	"13067"	"2022"	"2022"	"September"	"9"	765
	"Georgia"	"13"	"Cobb County, GA"	"13067"	"2022"	"2022"	"October"	"10"	754
	"Georgia"	"13"	"Cobb County, GA"	"13067"	"2022"	"2022"	"November"	"11"	773
	"Georgia"	"13"	"Cobb County, GA"	"13067"	"2022"	"2022"	"December"	"12"	730
	"Georgia"	"13"	"Columbia County, GA"	"13073"	"2022"	"2022"	"January"	"1"	132
	"Georgia"	"13"	"Columbia County, GA"	"13073"	"2022"	"2022"	"February"	"2"	134
	"Georgia"	"13"	"Columbia County, GA"	"13073"	"2022"	"2022"	"March"	"3"	137
	"Georgia"	"13"	"Columbia County, GA"	"13073"	"2022"	"2022"	"April"	"4"	135
	"Georgia"	"13"	"Columbia County, GA"	"13073"	"2022"	"2022"	"May"	"5"	130
	"Georgia"	"13"	"Columbia County, GA"	"13073"	"2022"	"2022"	"June"	"6"	167
	"Georgia"	"13"	"Columbia County, GA"	"13073"	"2022"	"2022"	"July"	"7"	143
	"Georgia"	"13"	"Columbia County, GA"	"13073"	"2022"	"2022"	"August"	"8"	155
